sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007691058	Btbd35f5	627.3234787085274	603.1985558986944	579.0923972510546	381.9963601896822	317.5161446990496	334.46142072744476
BRDN0007691057	Btbd35f5	646.4881471008449	599.4979512612791	589.6501437825233	547.2319950624285	469.65929736734427	548.1904261679094
BRDN0007691056	Btbd35f5	518.0848688723174	485.39597494097393	433.9233824433609	122.59418071203754	150.48942274798708	138.6791256674771
BRDN0007691055	Btbd35f5	535.3330704254032	582.8452303929103	592.2895804153904	206.10036177675877	239.79083844459478	218.6235628169639
BRDN0007691054	Btbd35f5	672.0410382906017	765.4083925053985	777.0501447160915	598.7570855066182	646.6083988402521	642.8185354468939
BRDN0007691053	Btbd35f4	459.313219135877	436.05457977543654	432.3397204636406	312.7039971785305	277.8266266116684	239.8333114484604
BRDN0007691052	Btbd35f4	413.3180149943149	330.58734760910045	365.8259173153882	124.37090796873373	117.41482434183607	106.04874315748249
BRDN0007691051	Btbd35f4	480.3943543674263	430.5036728193136	385.8856357251786	174.11927115622723	167.02672195106257	166.41495080097252
BRDN0007691050	Btbd35f4	385.2098346855825	408.916812434391	379.023100479724	95.9432718615946	107.49244481999077	86.47051365148572
BRDN0007691049	Btbd35f4	360.2957657755697	394.1143938847298	345.7661989055978	190.109816466493	155.45061250890973	164.7834316754728
BRDN0007691048	Btbd35f4	502.7531341584634	503.89899812805044	487.7678897538509	120.81745345534135	138.9133133058342	169.67798905197196
BRDN0007691047	Btbd35f3	838.1348310240203	785.1449505716135	775.9943700629447	815.5178108235541	861.5932884802337	835.337792255862
BRDN0007691046	Btbd35f3	765.9479134129576	722.2346717355533	823.5042294545535	474.3861775378844	520.9249248968783	526.9806775364129
BRDN0007691045	Btbd35f3	632.4340569464788	621.0848116462017	698.9228203832237	298.49017912496095	322.47733445997227	274.0952130839547
BRDN0007691044	Btbd35f3	640.7387465831497	611.2165326130943	653.5245102979085	421.0843598369985	362.16685254735347	352.4081311079418
BRDN0007691043	Btbd35f3	651.5987253387963	606.2823930965405	640.3273271335727	513.4741771852007	524.2323847374934	500.8763715284173
BRDN0007691042	Btbd35f3	628.6011232680153	714.2166950211536	633.464791888118	389.10326921646697	363.82058246766104	321.40926772344693
BRDN0007691041	Btbd35f27	1107.7178330759536	1202.0797397204044	1231.5611328958162	1073.1432630445024	1040.196119873449	876.1257703933553
BRDN0007691040	Btbd35f27	892.4347248022533	881.9774385839806	891.0738072559527	618.3010853302762	606.9188807528709	611.8196720623989
BRDN0007691039	Btbd35f27	1110.9119444746732	1141.636530642621	1106.4518364979128	1129.9985352587807	1240.2974402306627	1189.3774424893036
BRDN0007691038	Btbd35f27	560.8859616151599	687.078927680108	553.7538055755299	431.74472337717566	401.8563706347347	458.4568742654243
BRDN0007691037	Btbd35f27	550.0259828595133	497.7313237323583	515.7459180622428	282.4996338146952	256.3281376476703	267.56913658195583
BRDN0007691036	Btbd35f27	472.72848701049924	488.47981213882	474.0428192629417	246.9650886807713	251.36694788674762	257.78002182895744
BRDN0007691035	Btbd35f14	1168.4059496516259	1067.0076704547457	1121.232681641969	978.9767184396042	883.0917774442318	905.4931146523504
BRDN0007691034	Btbd35f14	1060.4449843749037	1008.4147636956701	996.6512725706391	978.9767184396042	997.1991419454528	954.4386884173424
BRDN0007691033	Btbd35f14	557.6918502164403	548.306253777034	636.1042285209852	556.1156313459094	476.2742170485744	530.2437157874124
BRDN0007691032	Btbd35f14	841.3289424227399	896.1630896940726	933.3047933818273	698.2538118816051	580.4592020279501	615.0827103133984
BRDN0007691031	Btbd35f14	715.480953313188	745.0550669996144	646.6619750524538	620.0778125869725	649.9158586808672	668.9228414548895
BRDN0007691030	Btbd35f14	542.3601155025863	543.9888817000495	546.3633830035019	355.3454513392393	380.35788167073656	398.09066662193425
